oven,start_time,chickens,expected_end_time,end_time,actual_cooking_time,time_difference,date
2,2024-10-07 15:15:26.552000-04:00,28.0,2024-10-07 16:45:26.489000-04:00,2024-10-07 16:59:27.161000-04:00,104.01015000000001,14.0112,2024-10-07
1,2024-10-07 15:38:58.973000-04:00,28.0,2024-10-07 17:08:58.909000-04:00,2024-10-07 17:18:10.326000-04:00,99.18921666666667,9.190283333333333,2024-10-07
3,2024-10-07 15:39:00.027000-04:00,28.0,2024-10-07 17:08:59.963000-04:00,2024-10-07 17:18:11.409000-04:00,99.18969999999999,9.190766666666667,2024-10-07
2,2024-10-08 12:45:55.240000-04:00,28.0,2024-10-08 12:50:58.981000-04:00,2024-10-08 13:01:36.493000-04:00,15.68755,10.6252,2024-10-08
1,2024-10-08 12:46:00.823000-04:00,28.0,2024-10-08 13:06:06.011000-04:00,2024-10-08 13:30:00.081000-04:00,43.98763333333333,23.901166666666665,2024-10-08
3,2024-10-08 12:46:08.047000-04:00,28.0,2024-10-08 12:51:10.923000-04:00,2024-10-08 13:01:37.656000-04:00,15.493483333333334,10.445549999999999,2024-10-08
3,2024-10-08 13:29:54.264000-04:00,28.0,2024-10-08 14:59:54.220000-04:00,2024-10-08 15:01:22.618000-04:00,91.47256666666667,1.4732999999999998,2024-10-08
2,2024-10-08 13:29:56.134000-04:00,28.0,2024-10-08 14:59:56.091000-04:00,2024-10-08 15:01:21.588000-04:00,91.42423333333333,1.42495,2024-10-08
4,2024-10-08 15:15:52.195000-04:00,28.0,2024-10-08 16:45:52.139000-04:00,2024-10-08 17:23:33.046000-04:00,127.68084999999999,37.681783333333335,2024-10-08
3,2024-10-08 15:15:52.654000-04:00,28.0,2024-10-08 16:45:52.604000-04:00,2024-10-08 17:04:37.323000-04:00,108.74448333333333,18.745316666666668,2024-10-08
2,2024-10-08 15:15:53.548000-04:00,28.0,2024-10-08 16:45:53.489000-04:00,2024-10-08 17:04:35.367000-04:00,108.69698333333334,18.697966666666666,2024-10-08
1,2024-10-08 15:15:54-04:00,28.0,2024-10-08 16:45:53.938000-04:00,2024-10-08 17:23:29.099000-04:00,127.58498333333334,37.586016666666666,2024-10-08
1,2024-10-13 13:12:26.117000-04:00,32.0,2024-10-13 14:42:25.946000-04:00,2024-10-13 14:44:21.788000-04:00,91.92785,1.9307,2024-10-13
3,2024-10-13 13:12:29.542000-04:00,32.0,2024-10-13 14:42:29.425000-04:00,2024-10-13 14:34:50.574000-04:00,82.35053333333333,-7.647516666666666,2024-10-13
2,2024-10-13 13:12:33.234000-04:00,28.0,2024-10-13 14:42:33.099000-04:00,2024-10-13 14:34:47.887000-04:00,82.24421666666667,-7.753533333333333,2024-10-13
3,2024-10-13 15:09:21.745000-04:00,24.0,2024-10-13 16:39:21.401000-04:00,2024-10-13 16:36:27.106000-04:00,87.08935,-2.9049166666666664,2024-10-13
2,2024-10-13 15:09:30.216000-04:00,32.0,2024-10-13 16:39:29.984000-04:00,2024-10-13 16:36:24.003000-04:00,86.89645,-3.099683333333333,2024-10-13
1,2024-10-13 15:09:34.658000-04:00,32.0,2024-10-13 16:39:34.419000-04:00,2024-10-13 16:36:26.180000-04:00,86.8587,-3.1373166666666665,2024-10-13
