oven,start_time,chickens,expected_end_time,end_time,actual_cooking_time,time_difference,date,cooking_duration,time_since_last_batch,hour,day_of_week,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos
1,2024-10-05 12:19:58.019577-04:00,32.0,2024-10-05 13:49:57.805000-04:00,2024-10-05 14:10:55.315275-04:00,110.9549283,20.958504583333333,2024-10-05,110.95492829999999,,12,5,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146
1,2024-10-05 14:12:53.469624-04:00,28.0,2024-10-05 15:42:53.031000-04:00,2024-10-05 17:26:54.331608-04:00,194.0143664,104.0216768,2024-10-05,194.0143664,112.92416745,14,5,-0.4999999999999998,-0.8660254037844388,-0.9749279121818235,-0.2225209339563146
1,2024-10-06 12:08:21.085134-04:00,28.0,2024-10-06 13:51:19.170000-04:00,2024-10-06 13:44:02.715423-04:00,95.69383814221592,-7.27424295,2024-10-06,95.69383814999999,1315.4602585,12,6,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
1,2024-10-06 13:54:35.668337-04:00,28.0,2024-10-06 15:24:35.674000-04:00,2024-10-06 15:46:43.642434-04:00,112.13290161666669,22.13280723333333,2024-10-06,112.13290161666667,106.24305338333333,13,6,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334
1,2024-10-06 15:47:02.132890-04:00,28.0,2024-10-06 17:17:02.066000-04:00,2024-10-06 17:26:20.499508-04:00,99.3061103,9.307225133333333,2024-10-06,99.3061103,112.44107588333333,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
1,2024-10-07 11:55:56.872526-04:00,28.0,2024-10-07 13:26:12.349000-04:00,2024-10-07 13:32:16.204264-04:00,96.3221956252718,6.064254399999999,2024-10-07,96.32219563333334,1208.9123272666666,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
1,2024-10-07 13:52:21.024657-04:00,28.0,2024-10-07 15:22:20.894000-04:00,2024-10-07 15:38:50.966739-04:00,106.4990347,16.501212316666667,2024-10-07,106.4990347,116.40253551666666,13,0,-0.25881904510252035,-0.9659258262890684,0.0,1.0
1,2024-10-07 15:38:58.973787-04:00,28.0,2024-10-07 17:08:58.909000-04:00,2024-10-07 17:18:10.326340-04:00,99.18920921666668,9.190289,2024-10-07,99.18920921666667,106.6324855,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
1,2024-10-08 11:53:15.910937-04:00,28.0,2024-10-08 13:06:06.011000-04:00,2024-10-08 13:30:00.081896-04:00,96.73618264206264,23.9011816,2024-10-08,96.73618265,1214.2822858333334,11,1,0.258819045102521,-0.9659258262890682,0.7818314824680297,0.6234898018587336
1,2024-10-08 15:15:54.000849-04:00,28.0,2024-10-08 16:45:53.938000-04:00,2024-10-08 17:23:29.099647-04:00,127.58497996666668,37.58602745,2024-10-08,127.58497996666667,202.63483186666664,15,1,-0.7071067811865471,-0.7071067811865479,0.7818314824680297,0.6234898018587336
1,2024-10-13 13:12:26.117678-04:00,32.0,2024-10-13 14:42:25.946000-04:00,2024-10-13 14:44:21.788213-04:00,91.92784225,1.93070355,2024-10-13,91.92784225,7076.535280483334,13,6,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334
1,2024-10-13 15:09:34.658442-04:00,32.0,2024-10-13 16:39:34.419000-04:00,2024-10-13 16:36:26.180578-04:00,86.85870226666665,-3.1373070333333337,2024-10-13,86.85870226666665,117.14234606666668,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
2,2024-10-04 11:36:15.639972-04:00,32.0,2024-10-04 13:06:51.986000-04:00,2024-10-04 13:11:49.449925-04:00,95.5634992105788,4.957732083333334,2024-10-04,95.56349921666667,,11,4,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191
2,2024-10-04 13:20:44.566649-04:00,28.0,2024-10-04 14:50:44.498000-04:00,2024-10-04 14:46:59.274082-04:00,86.24512388333332,-3.7537319666666655,2024-10-04,86.24512388333332,104.48211128333334,13,4,-0.25881904510252035,-0.9659258262890684,-0.433883739117558,-0.9009688679024191
2,2024-10-04 15:07:13.240915-04:00,28.0,2024-10-04 16:37:13.157000-04:00,2024-10-04 16:34:22.077625-04:00,87.1472785,-2.8513229166666667,2024-10-04,87.1472785,106.47790443333334,15,4,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191
2,2024-10-05 12:15:47.117177-04:00,32.0,2024-10-05 13:45:46.772000-04:00,2024-10-05 13:45:55.315275-04:00,90.13663496666666,0.1423879166666666,2024-10-05,90.13663496666666,1268.5646043666668,12,5,1.2246467991473532e-16,-1.0,-0.9749279121818235,-0.2225209339563146
2,2024-10-05 14:12:57.102264-04:00,28.0,2024-10-05 15:42:56.844000-04:00,2024-10-05 16:14:45.520600-04:00,121.80697226666666,31.811276666666668,2024-10-05,121.80697226666666,117.16641811666666,14,5,-0.4999999999999998,-0.8660254037844388,-0.9749279121818235,-0.2225209339563146
2,2024-10-06 13:11:06.148939-04:00,28.0,2024-10-06 14:41:05.430000-04:00,2024-10-06 14:47:03.852387-04:00,95.96172413333332,5.97370645,2024-10-06,95.96172413333333,1378.1507779166668,13,6,-0.25881904510252035,-0.9659258262890684,-0.7818314824680299,0.6234898018587334
