oven,start_time,chickens,expected_end_time,end_time,actual_cooking_time,time_difference,date,time_interval
3,2024-10-05 15:59:35.182386-04:00,28.0,2024-10-05 17:29:35.133000-04:00,2024-10-05 17:26:52.320033-04:00,87.28562744999999,-2.71354945,2024-10-05,135.60617155
3,2024-10-06 13:11:23.302254-04:00,28.0,2024-10-06 13:51:26.018000-04:00,2024-10-06 13:44:03.912170-04:00,32.67683193333333,-7.3684305,2024-10-06,1271.8019978
3,2024-10-06 13:54:26.338523-04:00,28.0,2024-10-06 15:24:26.345000-04:00,2024-10-06 15:46:44.928280-04:00,112.30982928333331,22.309721333333336,2024-10-06,43.05060448333334
3,2024-10-06 15:47:00.445536-04:00,28.0,2024-10-06 17:17:00.381000-04:00,2024-10-06 17:23:50.547110-04:00,96.83502623333334,6.836101833333333,2024-10-06,112.56845021666666
3,2024-10-07 13:06:13.423723-04:00,28.0,2024-10-07 13:26:15.889000-04:00,2024-10-07 13:32:14.628527-04:00,26.020080066666665,5.978992116666666,2024-10-07,1279.2163031166667
3,2024-10-07 13:52:21.855959-04:00,28.0,2024-10-07 15:22:21.775000-04:00,2024-10-07 15:38:52.645728-04:00,106.51316281666666,16.514512133333334,2024-10-07,46.14053726666667
3,2024-10-07 15:39:00.027627-04:00,28.0,2024-10-07 17:08:59.963000-04:00,2024-10-07 17:18:11.409592-04:00,99.18969941666666,9.190776533333333,2024-10-07,106.63619446666667
3,2024-10-08 12:46:08.047550-04:00,28.0,2024-10-08 12:51:10.923000-04:00,2024-10-08 13:01:37.656169-04:00,15.493476983333332,10.445552816666666,2024-10-08,1267.1336653833334
3,2024-10-08 13:29:54.264849-04:00,28.0,2024-10-08 14:59:54.220000-04:00,2024-10-08 15:01:22.618347-04:00,91.4725583,1.4733057833333334,2024-10-08,43.770288316666665
3,2024-10-08 15:15:52.654373-04:00,28.0,2024-10-08 16:45:52.604000-04:00,2024-10-08 17:04:37.323134-04:00,108.74447935,18.7453189,2024-10-08,105.97315873333334
3,2024-10-13 15:09:21.745203-04:00,24.0,2024-10-13 16:39:21.401000-04:00,2024-10-13 16:36:27.106541-04:00,87.08935563333333,-2.90490765,2024-10-13,116.87004496666667
4,2024-10-04 12:37:02.083327-04:00,32.0,2024-10-04 13:07:04.421000-04:00,2024-10-04 13:20:47.048231-04:00,43.74941506666666,13.71045385,2024-10-04,
4,2024-10-04 15:07:14.811223-04:00,28.0,2024-10-04 16:37:14.731000-04:00,2024-10-04 17:06:34.763256-04:00,119.33253388333333,29.333870933333333,2024-10-04,150.2121316
4,2024-10-05 11:36:39.233923-04:00,32.0,2024-10-05 13:06:39.153000-04:00,2024-10-05 13:27:40.199732-04:00,111.01609681666667,21.017445533333333,2024-10-05,1229.407045
4,2024-10-05 13:43:59.209173-04:00,32.0,2024-10-05 15:13:59.142000-04:00,2024-10-05 15:17:16.600191-04:00,93.2898503,3.29096985,2024-10-05,127.33292083333335
4,2024-10-05 15:59:39.886117-04:00,28.0,2024-10-05 17:29:39.832000-04:00,2024-10-05 17:26:52.045385-04:00,87.20265446666667,-2.7964435833333336,2024-10-05,135.67794906666666
4,2024-10-06 13:11:07.342179-04:00,28.0,2024-10-06 14:41:06.643000-04:00,2024-10-06 14:47:05.087072-04:00,95.96241488333334,5.974067866666667,2024-10-06,1271.4576010333333
4,2024-10-06 14:54:53.565270-04:00,28.0,2024-10-06 16:24:53.511000-04:00,2024-10-06 16:25:45.887880-04:00,90.8720435,0.872948,2024-10-06,103.77038485
4,2024-10-07 13:06:00.699375-04:00,28.0,2024-10-07 14:36:00.644000-04:00,2024-10-07 15:04:31.933176-04:00,118.52056335,28.521486266666667,2024-10-07,1331.11890175
4,2024-10-07 15:15:25.085338-04:00,28.0,2024-10-07 16:45:25.020000-04:00,2024-10-07 16:59:26.192931-04:00,104.01845988333334,14.01954885,2024-10-07,129.40643271666667
4,2024-10-08 15:15:52.195001-04:00,28.0,2024-10-08 16:45:52.139000-04:00,2024-10-08 17:23:33.046110-04:00,127.68085181666667,37.68178516666667,2024-10-08,1440.4518277166667
