action,oven,chickens,start_time,expected_end_time,timestamp,new_time_left,new_expected_end_time,actual_end_time,chickens_taken,chickens_left,time,cooking_duration,imputed_start_time,is_imputed
post_rush,1,,,,2024-10-08 21:23:36.198000+00:00,,,,8.0,20.0,2024-10-08T21:23:36.053Z,,2024-10-08 21:23:36.198000+00:00,False
start_cooking,1,32.0,2024-10-13T17:12:25.946Z,2024-10-13T18:42:25.946Z,2024-10-13 17:12:26.117000+00:00,,,,,,,82.36283333333334,2024-10-13 17:12:26.117000+00:00,False
finish_cooking,1,32.0,2024-10-18T13:12:25.000Z,2024-10-18T14:42:25.000Z,2024-10-13 18:44:21.788000+00:00,,,2024-10-13T18:44:21.562Z,,,,,2024-10-13 17:52:24.433868+00:00,True
post_rush,1,,,,2024-10-13 19:09:33.282000+00:00,,,,12.0,20.0,2024-10-13T19:09:33.057Z,,2024-10-13 19:09:33.282000+00:00,False
start_cooking,1,32.0,2024-10-13T19:09:34.419Z,2024-10-13T20:39:34.419Z,2024-10-13 19:09:34.658000+00:00,,,,,,,86.82241666666667,2024-10-13 19:09:34.658000+00:00,False
finish_cooking,1,32.0,2024-10-18T15:09:34.000Z,2024-10-18T16:39:34.000Z,2024-10-13 20:36:26.180000+00:00,,,2024-10-13T20:36:25.884Z,,,,,2024-10-13 19:44:28.825868+00:00,True
post_rush,1,,,,2024-10-13 20:42:39.855000+00:00,,,,4.0,28.0,2024-10-13T20:42:39.587Z,,2024-10-13 20:42:39.855000+00:00,False
start_cooking,2,32.0,2024-10-04T16:36:48.488Z,2024-10-04T18:06:48.488Z,2024-10-04 16:36:48.744000+00:00,,,,,,,34.859183333333334,2024-10-04 16:36:48.744000+00:00,False
adjust_cooking_time,2,,,,2024-10-04 16:36:52.144000+00:00,30.0,2024-10-04T17:06:51.986Z,,,,,,2024-10-04 16:36:52.144000+00:00,False
finish_cooking,2,32.0,,2024-10-18T13:06:51.000Z,2024-10-04 17:11:49.449000+00:00,,,2024-10-04T17:11:49.351Z,,,,,2024-10-04 16:19:52.094868+00:00,True
post_rush,2,,,,2024-10-04 17:16:08.774000+00:00,,,,8.0,24.0,2024-10-04T17:16:08.560Z,,2024-10-04 17:16:08.774000+00:00,False
start_cooking,2,28.0,2024-10-04T17:20:44.498Z,2024-10-04T18:50:44.498Z,2024-10-04 17:20:44.566000+00:00,,,,,,,0.04136666666666667,2024-10-04 17:20:44.566000+00:00,False
finish_cooking,2,28.0,2024-10-18T13:20:44.000Z,2024-10-18T14:50:44.000Z,2024-10-04 18:46:59.274000+00:00,,,2024-10-04T18:46:59.205Z,,,,,2024-10-04 17:55:01.919868+00:00,True
post_rush,2,,,,2024-10-04 19:07:10.561000+00:00,,,,18.0,10.0,2024-10-04T19:07:10.404Z,,2024-10-04 19:07:10.561000+00:00,False
start_cooking,2,28.0,2024-10-04T19:07:13.157Z,2024-10-04T20:37:13.157Z,2024-10-04 19:07:13.240000+00:00,,,,,,,87.13313333333333,2024-10-04 19:07:13.240000+00:00,False
finish_cooking,2,28.0,2024-10-18T15:07:13.000Z,2024-10-18T16:37:13.000Z,2024-10-04 20:34:22.077000+00:00,,,2024-10-04T20:34:21.800Z,,,,,2024-10-04 19:42:24.722868+00:00,True
post_rush,2,,,,2024-10-04 21:01:04.487000+00:00,,,,28.0,0.0,2024-10-04T21:01:04.054Z,,2024-10-04 21:01:04.487000+00:00,False
start_cooking,2,32.0,2024-10-05T16:15:46.772Z,2024-10-05T17:45:46.772Z,2024-10-05 16:15:47.117000+00:00,,,,,,,71.87443333333334,2024-10-05 16:15:47.117000+00:00,False
finish_cooking,2,32.0,2024-10-18T12:15:46.000Z,2024-10-18T13:45:46.000Z,2024-10-05 17:45:55.315000+00:00,,,2024-10-05T17:45:55.061Z,,,,,2024-10-05 16:53:57.960868+00:00,True
post_rush,2,,,,2024-10-05 18:02:38.448000+00:00,,,,12.0,20.0,2024-10-05T18:02:27.579Z,,2024-10-05 18:02:38.448000+00:00,False
start_cooking,2,28.0,2024-10-05T18:12:56.844Z,2024-10-05T19:42:56.844Z,2024-10-05 18:12:57.102000+00:00,,,,,,,64.31954999999999,2024-10-05 18:12:57.102000+00:00,False
finish_cooking,2,28.0,2024-10-18T14:12:56.000Z,2024-10-18T15:42:56.000Z,2024-10-05 20:14:45.520000+00:00,,,2024-10-05T20:14:45.253Z,,,,,2024-10-05 19:22:48.165868+00:00,True
post_rush,2,,,,2024-10-05 20:58:02.777000+00:00,,,,8.0,20.0,2024-10-05T20:58:02.112Z,,2024-10-05 20:58:02.777000+00:00,False
start_cooking,2,28.0,2024-10-06T17:11:05.430Z,2024-10-06T18:41:05.430Z,2024-10-06 17:11:06.148000+00:00,,,,,,,32.94278333333333,2024-10-06 17:11:06.148000+00:00,False
finish_cooking,2,28.0,2024-10-18T13:11:05.000Z,2024-10-18T14:41:05.000Z,2024-10-06 18:47:03.852000+00:00,,,2024-10-06T18:47:03.662Z,,,,,2024-10-06 17:55:06.497868+00:00,True
post_rush,2,,,,2024-10-06 18:54:48.122000+00:00,,,,28.0,0.0,2024-10-06T18:54:47.952Z,,2024-10-06 18:54:48.122000+00:00,False
start_cooking,2,28.0,2024-10-06T18:54:49.792Z,2024-10-06T20:24:49.792Z,2024-10-06 18:54:49.854000+00:00,,,,,,,51.89646666666667,2024-10-06 18:54:49.854000+00:00,False
finish_cooking,2,28.0,2024-10-18T14:54:49.000Z,2024-10-18T16:24:49.000Z,2024-10-06 20:25:44.636000+00:00,,,2024-10-06T20:25:44.421Z,,,,,2024-10-06 19:33:47.281868+00:00,True
post_rush,2,,,,2024-10-06 20:42:01.125000+00:00,,,,22.0,6.0,2024-10-06T20:42:00.741Z,,2024-10-06 20:42:01.125000+00:00,False
start_cooking,2,28.0,2024-10-07T17:05:59.498Z,2024-10-07T18:35:59.498Z,2024-10-07 17:05:59.670000+00:00,,,,,,,26.2493,2024-10-07 17:05:59.670000+00:00,False
finish_cooking,2,28.0,2024-10-18T13:05:59.000Z,2024-10-18T14:35:59.000Z,2024-10-07 19:04:31.099000+00:00,,,2024-10-07T19:04:30.835Z,,,,,2024-10-07 18:12:33.744868+00:00,True
post_rush,2,,,,2024-10-07 19:15:12.739000+00:00,,,,28.0,0.0,2024-10-07T19:15:12.560Z,,2024-10-07 19:15:12.739000+00:00,False
start_cooking,2,28.0,2024-10-07T19:15:26.489Z,2024-10-07T20:45:26.489Z,2024-10-07 19:15:26.552000+00:00,,,,,,,23.4069,2024-10-07 19:15:26.552000+00:00,False
finish_cooking,2,28.0,2024-10-18T15:15:26.000Z,2024-10-18T16:45:26.000Z,2024-10-07 20:59:27.161000+00:00,,,2024-10-07T20:59:27.081Z,,,,,2024-10-07 20:07:29.806868+00:00,True
post_rush,2,,,,2024-10-07 21:11:42.360000+00:00,,,,28.0,0.0,2024-10-07T21:11:42.082Z,,2024-10-07 21:11:42.360000+00:00,False
start_cooking,2,28.0,2024-10-08T16:45:55.011Z,2024-10-08T18:15:55.011Z,2024-10-08 16:45:55.240000+00:00,,,,,,,15.68755,2024-10-08 16:45:55.240000+00:00,False
adjust_cooking_time,2,,,,2024-10-08 16:45:59.034000+00:00,5.0,2024-10-08T16:50:58.981Z,,,,,,2024-10-08 16:45:59.034000+00:00,False
finish_cooking,2,28.0,,2024-10-18T12:50:58.000Z,2024-10-08 17:01:36.493000+00:00,,,2024-10-08T17:01:36.278Z,,,,,2024-10-08 16:09:39.138868+00:00,True
post_rush,2,,,,2024-10-08 17:29:49.501000+00:00,,,,8.0,20.0,2024-10-08T17:29:49.241Z,,2024-10-08 17:29:49.501000+00:00,False
start_cooking,2,28.0,2024-10-08T17:29:56.091Z,2024-10-08T18:59:56.091Z,2024-10-08 17:29:56.134000+00:00,,,,,,,0.06578333333333333,2024-10-08 17:29:56.134000+00:00,False
finish_cooking,2,28.0,2024-10-18T13:29:56.000Z,2024-10-18T14:59:56.000Z,2024-10-08 19:01:21.588000+00:00,,,2024-10-08T19:01:21.405Z,,,,,2024-10-08 18:09:24.233868+00:00,True
post_rush,2,,,,2024-10-08 19:15:50.416000+00:00,,,,18.0,10.0,2024-10-08T19:15:50.357Z,,2024-10-08 19:15:50.416000+00:00,False
start_cooking,2,28.0,2024-10-08T19:15:53.489Z,2024-10-08T20:45:53.489Z,2024-10-08 19:15:53.548000+00:00,,,,,,,108.69698333333334,2024-10-08 19:15:53.548000+00:00,False
finish_cooking,2,28.0,2024-10-18T15:15:53.000Z,2024-10-18T16:45:53.000Z,2024-10-08 21:04:35.367000+00:00,,,2024-10-08T21:04:35.086Z,,,,,2024-10-08 20:12:38.012868+00:00,True
post_rush,2,,,,2024-10-08 21:04:55.019000+00:00,,,,18.0,10.0,2024-10-08T21:04:54.778Z,,2024-10-08 21:04:55.019000+00:00,False
