oven,start_time,chickens,estimated_end_time,end_time,actual_cooking_time,date
1,2024-10-06 13:54:35.668337-04:00,28.0,2024-10-06 15:24:35.668337-04:00,2024-10-06 15:46:43.642434-04:00,112.13290161666667,2024-10-06
2,2024-10-06 14:54:49.854104-04:00,28.0,2024-10-06 16:24:49.854104-04:00,2024-10-06 16:25:44.636032-04:00,90.91303213333335,2024-10-06
4,2024-10-06 14:54:53.565270-04:00,28.0,2024-10-06 16:24:53.565270-04:00,2024-10-06 16:25:45.887880-04:00,90.8720435,2024-10-06
3,2024-10-06 15:47:00.445536-04:00,28.0,2024-10-06 17:17:00.445536-04:00,2024-10-06 17:23:50.547110-04:00,96.83502623333334,2024-10-06
1,2024-10-06 15:47:02.132890-04:00,28.0,2024-10-06 17:17:02.132890-04:00,2024-10-06 17:26:20.499508-04:00,99.3061103,2024-10-06
1,2024-10-07 11:56:12.395013-04:00,28.0,2024-10-07 13:26:12.395013-04:00,2024-10-07 13:32:16.204264-04:00,96.06348751666665,2024-10-07
3,2024-10-07 11:56:15.939919-04:00,28.0,2024-10-07 13:26:15.939919-04:00,2024-10-07 13:32:14.628527-04:00,95.97814346666668,2024-10-07
2,2024-10-07 13:05:59.670727-04:00,28.0,2024-10-07 14:35:59.670727-04:00,2024-10-07 15:04:31.099131-04:00,118.52380673333333,2024-10-07
4,2024-10-07 13:06:00.699375-04:00,28.0,2024-10-07 14:36:00.699375-04:00,2024-10-07 15:04:31.933176-04:00,118.52056335,2024-10-07
1,2024-10-07 13:52:21.024657-04:00,28.0,2024-10-07 15:22:21.024657-04:00,2024-10-07 15:38:50.966739-04:00,106.4990347,2024-10-07
3,2024-10-07 13:52:21.855959-04:00,28.0,2024-10-07 15:22:21.855959-04:00,2024-10-07 15:38:52.645728-04:00,106.51316281666666,2024-10-07
4,2024-10-07 15:15:25.085338-04:00,28.0,2024-10-07 16:45:25.085338-04:00,2024-10-07 16:59:26.192931-04:00,104.01845988333334,2024-10-07
2,2024-10-07 15:15:26.552251-04:00,28.0,2024-10-07 16:45:26.552251-04:00,2024-10-07 16:59:27.161845-04:00,104.01015989999999,2024-10-07
1,2024-10-07 15:38:58.973787-04:00,28.0,2024-10-07 17:08:58.973787-04:00,2024-10-07 17:18:10.326340-04:00,99.18920921666667,2024-10-07
3,2024-10-07 15:39:00.027627-04:00,28.0,2024-10-07 17:09:00.027627-04:00,2024-10-07 17:18:11.409592-04:00,99.18969941666666,2024-10-07
2,2024-10-08 11:20:59.034130-04:00,28.0,2024-10-08 12:50:59.034130-04:00,2024-10-08 13:01:36.493919-04:00,100.62432981666666,2024-10-08
3,2024-10-08 11:21:10.969204-04:00,28.0,2024-10-08 12:51:10.969204-04:00,2024-10-08 13:01:37.656169-04:00,100.44478275,2024-10-08
1,2024-10-08 11:36:06.066534-04:00,28.0,2024-10-08 13:06:06.066534-04:00,2024-10-08 13:30:00.081896-04:00,113.90025603333333,2024-10-08
3,2024-10-08 13:29:54.264849-04:00,28.0,2024-10-08 14:59:54.264849-04:00,2024-10-08 15:01:22.618347-04:00,91.4725583,2024-10-08
2,2024-10-08 13:29:56.134620-04:00,28.0,2024-10-08 14:59:56.134620-04:00,2024-10-08 15:01:21.588652-04:00,91.42423386666665,2024-10-08
4,2024-10-08 15:15:52.195001-04:00,28.0,2024-10-08 16:45:52.195001-04:00,2024-10-08 17:23:33.046110-04:00,127.68085181666667,2024-10-08
3,2024-10-08 15:15:52.654373-04:00,28.0,2024-10-08 16:45:52.654373-04:00,2024-10-08 17:04:37.323134-04:00,108.74447934999999,2024-10-08
2,2024-10-08 15:15:53.548008-04:00,28.0,2024-10-08 16:45:53.548008-04:00,2024-10-08 17:04:35.367554-04:00,108.69699243333334,2024-10-08
1,2024-10-08 15:15:54.000849-04:00,28.0,2024-10-08 16:45:54.000849-04:00,2024-10-08 17:23:29.099647-04:00,127.58497996666667,2024-10-08
1,2024-10-13 13:12:26.117678-04:00,32.0,2024-10-13 14:42:26.117678-04:00,2024-10-13 14:44:21.788213-04:00,91.92784225,2024-10-13
3,2024-10-13 13:12:29.542505-04:00,32.0,2024-10-13 14:42:29.542505-04:00,2024-10-13 14:34:50.574829-04:00,82.35053873333332,2024-10-13
2,2024-10-13 13:12:33.234790-04:00,28.0,2024-10-13 14:42:33.234790-04:00,2024-10-13 14:34:47.887259-04:00,82.24420781666666,2024-10-13
3,2024-10-13 15:09:21.745203-04:00,24.0,2024-10-13 16:39:21.745203-04:00,2024-10-13 16:36:27.106541-04:00,87.08935563333333,2024-10-13
2,2024-10-13 15:09:30.216548-04:00,32.0,2024-10-13 16:39:30.216548-04:00,2024-10-13 16:36:24.003917-04:00,86.89645614999999,2024-10-13
1,2024-10-13 15:09:34.658442-04:00,32.0,2024-10-13 16:39:34.658442-04:00,2024-10-13 16:36:26.180578-04:00,86.85870226666665,2024-10-13
